PERUSAHAAN,ROA2019,ROA2020,ROA2021,ROE2019,ROE2020,ROE2021,ROI2019,ROI2020,ROI2021
ADHI,0.018,0.001,0.002,0.097,0.004,0.015,0.018,0.002,0.002
DGIK,0.001,-0.012,0.010,0.002,-0.023,0.012,0.005,-0.017,0.005
NRCA,0.041,0.025,0.024,0.083,0.048,0.044,0.035,0.025,0.023
PTPP,0.020,0.005,0.007,0.070,0.019,0.025,0.002,0.004,0.007
TOTL,0.059,0.038,0.038,0.163,0.095,0.083,0.054,0.036,0.047
WIKA,0.042,0.005,0.003,0.136,0.019,0.012,0.004,0.004,0.003
WSKT,0.008,-0.090,-0.018,0.035,-0.573,-0.119,0.008,-0.089,-0.017
JKON,0.041,0.011,-0.009,0.075,0.019,-0.014,0.046,0.022,-0.008
CSIS,-0.020,0.023,0.038,-0.035,0.046,0.083,-0.020,0.024,0.038
IDPR,-0.002,-0.253,-0.097,-0.004,-0.516,-0.166,-0.002,-0.251,-0.091
TOPS,-0.070,-0.058,0.000,-0.123,-0.090,0.000,-0.068,-0.058,0.001
WEGE,0.074,0.026,0.036,0.122,0.040,0.060,0.074,0.026,0.036
PBSA,0.018,0.061,0.107,0.072,0.260,0.425,0.019,0.068,0.110
SRKN,0.082,0.006,0.003,0.147,0.010,0.004,0.081,0.008,0.003
SSIA,0.017,-0.010,-0.025,0.038,-0.023,-0.005,0.011,-0.014,-0.021
TAMA,0.012,-0.024,0.000,0.014,-0.034,0.001,0.011,-0.023,0.002
